coalition,total_conversions
blog,0.0
blog > direct,0.0
blog > direct > organic_bing,0.0
blog > direct > organic_bing > paid_bing_cpc,0.0
blog > direct > organic_facebook,0.0
blog > direct > organic_facebook > organic_google,0.0
blog > direct > organic_facebook > organic_social,0.0
blog > direct > organic_facebook > other,0.0
blog > direct > organic_google,19.0
blog > direct > organic_google > organic_social,0.0
blog > direct > organic_google > other,0.0
blog > direct > organic_google > other > paid_google_cpc,0.0
blog > direct > organic_google > paid_capterra_cpc > paid_google_cpc,0.0
blog > direct > organic_google > paid_google_cpc,0.0
blog > direct > organic_social,0.0
blog > direct > other,2.0
blog > direct > other > paid_social,0.0
blog > direct > paid_social,0.0
blog > organic_bing,0.0
blog > organic_bing > organic_google,0.0
blog > organic_bing > other,0.0
blog > organic_bing > paid_bing_cpc,0.0
blog > organic_facebook,1.0
blog > organic_facebook > organic_google,0.0
blog > organic_facebook > other,0.0
blog > organic_facebook > paid_social,0.0
blog > organic_google,111.0
blog > organic_google > organic_social,0.0
blog > organic_google > other,0.0
blog > organic_google > paid_capterra_cpc,0.0
blog > organic_google > paid_capterra_cpc > paid_google_cpc,0.0
blog > organic_google > paid_google_cpc,2.0
blog > organic_google > paid_google_display,0.0
blog > organic_google > paid_social,0.0
blog > organic_social,1.0
blog > organic_social > other,0.0
blog > other,8.0
blog > other > paid_google_cpc,0.0
blog > other > paid_google_display,0.0
blog > other > paid_social,0.0
blog > paid_social,1.0
direct,788.0
direct > organic_bing,1.0
direct > organic_bing > organic_google,0.0
direct > organic_bing > other,0.0
direct > organic_bing > paid_bing_cpc,1.0
direct > organic_facebook,0.0
direct > organic_google,77.0
direct > organic_google > organic_social,0.0
direct > organic_google > other,2.0
direct > organic_google > other > paid_google_cpc,0.0
direct > organic_google > paid_bing_cpc > paid_google_cpc,0.0
direct > organic_google > paid_google_cpc,1.0
direct > organic_google > paid_google_display,0.0
direct > organic_google > paid_social,0.0
direct > organic_social,0.0
direct > other,4.0
direct > other > paid_bing_cpc,0.0
direct > other > paid_google_cpc,0.0
direct > other > paid_google_display,0.0
direct > paid_bing_cpc,4.0
direct > paid_bing_cpc > paid_google_cpc,0.0
direct > paid_capterra_cpc,1.0
direct > paid_google_cpc,14.0
direct > paid_google_display,0.0
direct > paid_social,3.0
organic_bing,4.0
organic_bing > organic_google,0.0
organic_bing > other,0.0
organic_bing > paid_bing_cpc,0.0
organic_bing > paid_bing_cpc > paid_google_cpc,0.0
organic_bing > paid_capterra_cpc,0.0
organic_facebook,6.0
organic_facebook > organic_google,0.0
organic_facebook > organic_google > paid_bing_cpc,0.0
organic_facebook > organic_google > paid_google_cpc,0.0
organic_facebook > other,0.0
organic_facebook > other > paid_social,0.0
organic_facebook > paid_google_cpc,0.0
organic_facebook > paid_social,0.0
organic_google,589.0
organic_google > organic_social,0.0
organic_google > other,4.0
organic_google > other > paid_google_cpc,0.0
organic_google > paid_bing_cpc,0.0
organic_google > paid_capterra_cpc,0.0
organic_google > paid_capterra_cpc > paid_google_cpc,0.0
organic_google > paid_google_cpc,12.0
organic_google > paid_google_cpc > paid_google_display,0.0
organic_google > paid_google_display,0.0
organic_google > paid_social,0.0
organic_social,6.0
organic_social > paid_capterra_cpc,0.0
organic_social > paid_google_cpc,0.0
organic_social > paid_google_display,0.0
other,131.0
other > paid_bing_cpc,1.0
other > paid_bing_cpc > paid_capterra_cpc,0.0
other > paid_capterra_cpc,0.0
other > paid_capterra_cpc > paid_google_cpc,0.0
other > paid_google_cpc,0.0
other > paid_google_display,0.0
other > paid_social,1.0
paid_bing_cpc,36.0
paid_bing_cpc > paid_capterra_cpc,0.0
paid_bing_cpc > paid_google_cpc,0.0
paid_bing_cpc > paid_google_display,0.0
paid_bing_cpc > paid_social,0.0
paid_capterra_cpc,33.0
paid_capterra_cpc > paid_google_cpc,0.0
paid_capterra_cpc > paid_google_display,0.0
paid_capterra_cpc > paid_social,0.0
paid_google_cpc,310.0
paid_google_cpc > paid_google_display,0.0
paid_google_cpc > paid_social,0.0
paid_google_display,169.0
paid_google_display > paid_social,0.0
paid_social,681.0
review_sites,0.0
