path,total_conversions,total_conversion_value,total_null
eta > iota > alpha > eta,1,0.244,3
iota > iota > iota > iota,2,3.195,6
alpha > iota > alpha > alpha > alpha > iota > alpha > alpha > alpha > alpha > alpha,2,6.754,6
beta > eta,1,2.402,3
iota > eta > theta > lambda > lambda > theta > lambda,0,0,2
alpha > eta > alpha > alpha > eta > iota > iota > iota > alpha > alpha > alpha > alpha > alpha > alpha > theta > alpha > alpha > alpha > alpha > alpha > alpha,1,5.044,3
iota > beta > eta > beta > eta,0,0,2
beta > iota > kappa,1,6.82,2
eta,1,3.3,3
iota > iota > beta,1,2.6,3
